HQ,Industry,Total Funding,ARR,Valuation,Employees,Product,G2 Rating,Company Age
19,36,1000000000.0,270000000000.0,9500000000.0,"221,000",3,4.4,50
21,4,65400000.00000001,37900000000.0,227800000000.0,"75,000",75,4.3,26
22,14,2500000.0,19400000000.0,240000000000.0,"29,945",19,4.5,43
1,26,2000.0,52900000000.0,350000000000.0,"143,000",63,4.0,48
32,36,350600000.0,32500000000.0,215000000000.0,"107,415",73,4.1,53
11,44,273000000.0,14400000000.0,180000000000.0,"18,200",69,4.4,42
25,48,82500000.0,8900000000.0,147000000000.0,"20,000",50,4.4,21
17,45,249900000.0,7300000000.0,65000000000.0,"18,800",48,4.2,20
22,78,145500000.0,4500000000.0,85000000000.0,"7,388",85,4.5,14
15,32,122300000.0,7100000000.0,95000000000.0,"11,600",33,4.4,19
29,9,60000000.0,3500000000.0,55000000000.0,"11,800",56,4.3,23
5,24,1400000000.0,2800000000.0,75000000000.0,"6,500",10,4.4,13
6,57,100500000.0,2200000000.0,32000000000.0,"7,600",60,4.4,19
21,31,514299999.99999994,2500000000.0,10000000000.0,"7,336",94,4.5,22
21,76,1400000000.0,1700000000.0,9500000000.0,"2,545",81,4.5,16
21,66,353000000.0,400000000.0,10000000000.0,800,1,4.7,12
13,59,147900000.0,2100000000.0,44000000000.0,"5,200",55,4.4,15
13,25,311200000.0,1700000000.0,26000000000.0,"4,500",32,4.5,18
21,50,230500000.0,2200000000.0,25000000000.0,"5,900",51,4.4,16
21,10,261300000.0,4099999999.9999995,12000000000.0,"7,867",15,4.3,17
21,61,8700000000.0,14000000000.0,65000000000.0,"8,000",65,4.4,15
21,61,590500000.0,19700000000.0,85000000000.0,"8,500",64,4.2,16
8,21,2600000000.0,2200000000.0,52000000000.0,"3,500",25,4.0,22
29,28,572600000.0,2000000000.0,40000000000.0,"3,500",28,4.7,12
30,83,234100000.0,736000000.0,14000000000.0,"1,900",92,4.6,13
21,83,453200000.0,652000000.0,5500000000.0,"1,600",91,4.3,17
21,27,735100000.0,500000000.0,11000000000.0,900,59,4.6,13
21,28,332900000.0,600000000.0,9500000000.0,"1,300",14,4.7,13
21,29,435600000.0,580000000.0,8000000000.0,"2,300",29,4.5,14
21,18,85500000.0,1900000000.0,13200000000.0,"6,000",24,4.3,18
20,7,562400000.0,1000000000.0,3500000000.0,"2,800",9,4.2,20
21,7,1700000000.0,2500000000.0,8500000000.0,"2,700",13,4.4,17
23,16,484700000.0,596000000.0,5200000000.0,"5,000",22,4.4,15
4,58,778200000.0,698000000.0,9500000000.0,"1,500",34,4.6,13
13,67,2000000000.0,1300000000.0,7000000000.0,"4,013",72,4.5,20
21,20,3500000000.0,1600000000.0,43000000000.0,"5,000",84,4.5,12
11,23,455900000.0,773000000.0,9100000000.0,"2,500",27,4.4,11
21,52,349500000.0,541000000.0,13000000000.0,"2,200",54,4.6,13
11,73,162000000.0,1100000000.0,8000000000.0,"3,000",78,4.4,13
21,51,173700000.0,430000000.0,2800000000.0,"1,000",31,4.3,16
